outcome,exposure,method,nsnp,b,se,pval,lci,uci
CAD,glutamine,MR Egger,5,6.42010400718834,1.15754412744151,0.0115566275879715,4.15135920688714,8.68884880748955
CAD,glutamine,Weighted median,5,2.36815093688838,0.605075202041567,9.08501617803853e-05,1.18222533294861,3.55407654082814
CAD,glutamine,Inverse variance weighted,5,1.4697636169459,1.19663800871851,0.219355334967599,-0.875603782674108,3.81513101656591
CAD,glutamine,Simple mode,5,2.48049558153388,0.659824691497916,0.0197864498739026,1.18726295008771,3.77372821298005
CAD,glutamine,Weighted mode,5,2.41004489825143,0.585173942892273,0.0146301991655693,1.26312504549128,3.55696475101159
CAD,tryptophan,MR Egger,16,-3.76473104804286,2.62824770165707,0.173975416877706,-8.9160018857409,1.38653978965518
CAD,tryptophan,Weighted median,16,-3.22522223233606,0.767237112846787,2.6260570734594e-05,-4.72897934111826,-1.72146512355387
CAD,tryptophan,Inverse variance weighted,16,-1.76795065285961,1.04595382786131,0.0909751643103716,-3.81798248495959,0.282081179240362
CAD,tryptophan,Simple mode,16,-4.39833803836455,0.893752282047815,0.000184561765049632,-6.15006032227875,-2.64661575445035
CAD,tryptophan,Weighted mode,16,-3.62425458888229,0.723532449326552,0.000155598820163876,-5.04235213120838,-2.2061570465562
CAD,histidine,MR Egger,3,-0.67785918393096,7.84595961801033,0.945134864570567,-16.0556574593868,14.6999390915249
CAD,histidine,Weighted median,3,-3.23200735856582,1.02700051231585,0.00164934777349824,-5.24489137480907,-1.21912334232258
CAD,histidine,Inverse variance weighted,3,-3.45211704484716,0.789013104849824,1.21302223764118e-05,-4.99855431368294,-1.90567977601138
CAD,histidine,Simple mode,3,-3.18070959938215,1.09666126855861,0.10115891810234,-5.33012618899702,-1.03129300976727
CAD,histidine,Weighted mode,3,-3.19016499844666,1.1822236448244,0.114268672359728,-5.50728076397415,-0.87304923291917
CAD,leucine,MR Egger,19,10.9660406884672,22.2699277315177,0.628725086088673,-32.6822156036172,54.6142969805516
CAD,leucine,Weighted median,19,4.51185830996171,0.947995575682838,1.94201599457021e-06,2.65382112412003,6.36989549580339
CAD,leucine,Inverse variance weighted,19,0.367143602679088,1.4582324387492,0.801216503191379,-2.49093945835735,3.22522666371553
CAD,leucine,Simple mode,19,5.1726910398869,0.987454856900193,5.55786072527224e-05,3.23731508400337,7.10806699577043
CAD,leucine,Weighted mode,19,5.10901250865779,0.981951201695555,5.99673406764026e-05,3.18442351875868,7.03360149855691
CAD,cholesterol,MR Egger,10,2.4460047222729,2.73481294431655,0.397219741387434,-2.91413015304147,7.80613959758727
CAD,cholesterol,Weighted median,10,3.38007559093601,0.621800053925173,5.45044582555067e-08,2.16136987965761,4.59878130221441
CAD,cholesterol,Inverse variance weighted,10,4.94791817729842,0.924172808244123,8.60839138930757e-08,3.1365727576487,6.75926359694814
CAD,cholesterol,Simple mode,10,3.3418142478357,0.694786356847904,0.000960456995671449,1.98005801146401,4.70357048420738
CAD,cholesterol,Weighted mode,10,3.15164363794871,0.588564467332086,0.000459443733956402,1.99807847939782,4.3052087964996
CAD,creatinine,MR Egger,5,-0.855846768685757,1.08797664765746,0.488908831128114,-2.988241814115,1.27654827674348
CAD,creatinine,Weighted median,5,-2.29420829454974,0.839256905778943,0.00626425573414065,-3.93912160365299,-0.649294985446484
CAD,creatinine,Inverse variance weighted,5,-2.62527566629996,0.575552318934772,5.08341515649619e-06,-3.75333748263062,-1.4972138499693
CAD,creatinine,Simple mode,5,-4.41193570344681,1.31754124081924,0.0286056956745655,-6.99426908359874,-1.82960232329487
CAD,creatinine,Weighted mode,5,-2.05451259282111,0.813040827987912,0.0648749386909546,-3.64804333363805,-0.46098185200418
CAD,3-hydroxybutyrate (BHBA),Wald ratio,1,0.660184049079755,0.291263803680982,0.0234135150853936,0.089317483864886,1.23105061429462
CAD,mannose,MR Egger,5,-2.49200633081161,2.6055202833314,0.409412082926367,-7.59873224712974,2.61471958550653
CAD,mannose,Weighted median,5,-1.17562916138111,0.507806639800574,0.0206068125365949,-2.17091188650054,-0.18034643626168
CAD,mannose,Inverse variance weighted,5,-0.506424946316374,0.868686767421782,0.559908364548596,-2.20901972430959,1.19616983167684
CAD,mannose,Simple mode,5,-1.85223119074827,0.658475384026391,0.0481741555560829,-3.14281922814618,-0.561643153350363
